No,Daerah,Level,SD,SMP,SMA,SMK
421,Kab. Flores Timur,Kabupaten/Kota,67,24,28,43
422,Kab. Sikka,Kabupaten/Kota,110,47,12,15
423,Kab. Ende,Kabupaten/Kota,66,24,20,122
424,Kab. Ngada,Kabupaten/Kota,32,22,13,32
425,Kab. Manggarai,Kabupaten/Kota,48,43,44,16
426,Kab. Sumba Timur,Kabupaten/Kota,"1,361",52,27,1
427,Kab. Sumba Barat,Kabupaten/Kota,67,17,37,2
428,Kab. Lembata,Kabupaten/Kota,33,9,26,2
429,Kab. Rote Ndao,Kabupaten/Kota,44,18,6,10
430,Kab. Manggarai Barat,Kabupaten/Kota,38,17,19,3
431,Kab. Nagekeo,Kabupaten/Kota,48,27,11,5
432,Kab. Sumba Tengah,Kabupaten/Kota,17,4,4,4
433,Kab. Sumba Barat Daya,Kabupaten/Kota,515,173,31,167
434,Kab. Manggarai Timur,Kabupaten/Kota,65,50,57,44
435,Kab. Sabu Raijua,Kabupaten/Kota,23,4,8,3
436,Kab. Malaka,Kabupaten/Kota,150,75,18,3
437,Kota Kupang,Kabupaten/Kota,68,13,42,16
438,Provinsi Papua,Provinsi,"2,842",856,402,294
439,Kab. Jayapura,Kabupaten/Kota,115,22,47,9
440,Kab. Biak Numfor,Kabupaten/Kota,122,19,10,2
441,Kab. Kepulauan Yapen,Kabupaten/Kota,39,3,12,32
442,Kab. Merauke,Kabupaten/Kota,156,93,26,53
443,Kab. Jayawijaya,Kabupaten/Kota,36,136,59,86
444,Kab. Nabire,Kabupaten/Kota,47,30,14,9
445,Kab. Paniai,Kabupaten/Kota,237,8,111,3
446,Kab. Puncak Jaya,Kabupaten/Kota,214,16,0,0
447,Kab. Mimika,Kabupaten/Kota,123,50,8,10
448,Kab. Boven Digoel,Kabupaten/Kota,123,1,2,0
449,Kab. Mappi,Kabupaten/Kota,243,26,1,11
450,Kab. Asmat,Kabupaten/Kota,252,10,0,0
451,Kab. Yahukimo,Kabupaten/Kota,284,107,5,3
452,Kab. Pegunungan Bintang,Kabupaten/Kota,232,4,0,5
453,Kab. Tolikara,Kabupaten/Kota,12,117,2,0
454,Kab. Sarmi,Kabupaten/Kota,46,19,0,9
455,Kab. Keerom,Kabupaten/Kota,18,2,0,0
456,Kab. Waropen,Kabupaten/Kota,38,10,0,0
457,Kab. Supiori,Kabupaten/Kota,21,4,10,0
458,Kab. Mamberamo Raya,Kabupaten/Kota,14,7,3,0
459,Kab. Nduga,Kabupaten/Kota,41,0,3,0
460,Kab. Lanny Jaya,Kabupaten/Kota,57,14,52,5
461,Kab. Mamberamo Tengah,Kabupaten/Kota,23,8,2,0
462,Kab. Yalimo,Kabupaten/Kota,24,18,0,0
463,kab. Puncak,Kabupaten/Kota,3,2,2,0
464,Kab. Dogiyai,Kabupaten/Kota,175,35,0,8
465,Kab. Deiyai,Kabupaten/Kota,55,63,32,9
466,Kab. Intan Jaya,Kabupaten/Kota,2,14,0,0
467,Kota Jayapura,Kabupaten/Kota,90,18,1,40
468,Provinsi Bengkulu,Provinsi,286,91,119,198
469,Kab. Bengkulu Utara,Kabupaten/Kota,27,12,12,1
470,Kab. Rejang Lebong,Kabupaten/Kota,21,8,7,13
471,Kab. Bengkulu Selatan,Kabupaten/Kota,70,1,29,3
472,Kab. Mukomuko,Kabupaten/Kota,34,4,13,31
473,Kab. Kepahiang,Kabupaten/Kota,15,9,10,2
474,Kab. Lebong,Kabupaten/Kota,8,13,1,4
475,Kab. Kaur,Kabupaten/Kota,37,18,13,13
476,Kab. Seluma,Kabupaten/Kota,31,6,10,9
477,Kab. Bengkulu Tengah,Kabupaten/Kota,19,6,12,0
478,Kota Bengkulu,Kabupaten/Kota,24,14,12,122
479,Provinsi Maluku Utara,Provinsi,534,144,103,107
480,Kab. Pulau Taliabu,Kabupaten/Kota,53,16,5,11
481,Kab. Halmahera Tengah,Kabupaten/Kota,56,35,9,0
482,Kab. Halmahera Barat,Kabupaten/Kota,50,5,4,3
483,Kab. halmahera Utara,Kabupaten/Kota,93,9,9,33
484,Kab. Halmahera Selatan,Kabupaten/Kota,172,42,62,25
485,Kab. Halmahera Timur,Kabupaten/Kota,33,10,3,13
486,Kab. Kepulauan Sula,Kabupaten/Kota,5,10,0,3
487,Kab. Pulau Morotai,Kabupaten/Kota,1,1,5,8
488,Kota Ternate,Kabupaten/Kota,34,13,4,7
489,Kota Tidore Kepulauan,Kabupaten/Kota,37,3,2,4
490,Provinsi Banten,Provinsi,"1,397",471,342,580
491,Kab. Pandeglang,Kabupaten/Kota,249,92,41,76
492,Kab. Lebak,Kabupaten/Kota,204,85,29,23
493,Kab. Tangerang,Kabupaten/Kota,408,88,93,332
494,Kab. Serang,Kabupaten/Kota,181,161,137,71
495,Kota Cilegon,Kabupaten/Kota,9,2,4,37
496,Kota Tangerang,Kabupaten/Kota,111,6,8,12
497,Kota Serang,Kabupaten/Kota,143,23,16,27
498,Kota Tangerang Selatan,Kabupaten/Kota,92,14,14,2
499,Provinsi Kep. Bangka Belitung,Provinsi,231,31,23,51
500,Kab. Bangka,Kabupaten/Kota,71,4,6,3
501,Kab. Belitung,Kabupaten/Kota,14,1,1,16
502,Kab. Bangka Tengah,Kabupaten/Kota,16,3,1,1
503,Kab. Bangka Barat,Kabupaten/Kota,39,14,5,9
504,Kab. Bangka Selatan,Kabupaten/Kota,42,6,10,19
505,Kab. Belitung Timur,Kabupaten/Kota,16,2,0,0
506,Kota Pangkalpinang,Kabupaten/Kota,33,1,0,3
507,Provinsi Gorontalo,Provinsi,518,183,168,149
508,Kab. Boalemo,Kabupaten/Kota,106,27,44,24
509,Kab. Gorontalo,Kabupaten/Kota,137,61,42,24
510,Kab. Pohuwato,Kabupaten/Kota,103,19,29,10
511,Kab. Bone Bolango,Kabupaten/Kota,86,45,27,17
512,Kab. Gorontalo Utara,Kabupaten/Kota,58,17,20,60
513,Kota Gorontalo,Kabupaten/Kota,28,14,6,14
514,Provinsi Kepulauan Riau,Provinsi,271,19,61,8
515,Kab. Bintan,Kabupaten/Kota,35,0,1,2
516,Kab. Karimun,Kabupaten/Kota,32,3,2,0
517,Kab. Natuna,Kabupaten/Kota,4,3,4,0
518,Kab. Lingga,Kabupaten/Kota,2,1,1,0
519,Kab. Kepulauan Anambas,Kabupaten/Kota,7,1,0,0
520,Kota Batam,Kabupaten/Kota,169,10,52,5
521,Kota Tanjungpinang,Kabupaten/Kota,22,1,1,1
522,Provinsi Papua Barat,Provinsi,584,112,72,75
523,Kab. Fakfak,Kabupaten/Kota,32,10,10,8
524,Kab. Kaimana,Kabupaten/Kota,25,4,0,0
525,Kab. Teluk Wondama,Kabupaten/Kota,73,5,0,0
526,Kab. Teluk Bintuni,Kabupaten/Kota,59,20,0,6
527,Kab. Manokwari,Kabupaten/Kota,25,6,7,17
528,Kab. Sorong Selatan,Kabupaten/Kota,32,2,0,0
529,Kab. Sorong,Kabupaten/Kota,96,9,13,3
530,Kab. Raja Ampat,Kabupaten/Kota,27,9,7,9
531,Kab. Tambrauw,Kabupaten/Kota,26,7,13,1
532,Kab. Maybrat,Kabupaten/Kota,3,13,1,0
533,Kab. Pegunungan Arfak,Kabupaten/Kota,35,7,0,0
