No,Daerah,Level,SD,SMP,SMA,SMK
204,Kab. Kuantan Singingi,Kabupaten/Kota,23,4,7,3
205,Kab. Kepulauan Meranti,Kabupaten/Kota,57,21,11,0
206,Kota Pekanbaru,Kabupaten/Kota,144,192,15,26
207,Kota Dumai,Kabupaten/Kota,23,5,9,7
208,Provinsi Jambi,Provinsi,664,160,191,68
209,Kab. Batang Hari,Kabupaten/Kota,31,4,53,2
210,Kab. Bungo,Kabupaten/Kota,45,30,29,11
211,Kab. Sarolangun,Kabupaten/Kota,36,5,8,2
212,Kab. Tanjung Jabung Barat,Kabupaten/Kota,110,11,12,5
213,Kab. Kerinci,Kabupaten/Kota,166,39,56,2
214,Kab. Tebo,Kabupaten/Kota,83,8,4,18
215,Kab. Muaro Jambi,Kabupaten/Kota,34,6,9,1
216,Kab. Tanjung Jabung Timur,Kabupaten/Kota,55,9,6,4
217,Kab. Merangin,Kabupaten/Kota,36,24,3,6
218,Kota Jambi,Kabupaten/Kota,50,9,11,15
219,Kota Sungai Penuh,Kabupaten/Kota,18,15,0,2
220,Provinsi Sumatera Selatan,Provinsi,"1,887",524,397,274
221,Kab. Musi Banyuasin,Kabupaten/Kota,214,48,11,26
222,Kab. Ogan Komering Ilir,Kabupaten/Kota,221,28,27,13
223,Kab. Ogan Komering Ulu,Kabupaten/Kota,121,16,8,21
224,Kab. Muara Enim,Kabupaten/Kota,174,33,16,13
225,Kab. Lahat,Kabupaten/Kota,52,18,54,3
226,Kab. Musi Rawas,Kabupaten/Kota,193,25,9,19
227,Kab. Banyuasin,Kabupaten/Kota,180,84,48,16
228,Kab. Ogan Komering Ulu Timur,Kabupaten/Kota,70,34,14,26
229,Kab. Ogan Komering Ulu Selatan,Kabupaten/Kota,106,18,23,0
230,Kab. Ogan Ilir,Kabupaten/Kota,76,57,14,8
231,Kab. Empat Lawang,Kabupaten/Kota,66,12,9,3
232,Kab. Penukal Abab Lematang Ilir,Kabupaten/Kota,102,14,20,7
233,Kab. Musi Rawas Utara,Kabupaten/Kota,38,12,35,1
234,Kota Palembang,Kabupaten/Kota,179,45,39,86
235,Kota Prabumulih,Kabupaten/Kota,55,8,1,9
236,Kota Lubuklinggau,Kabupaten/Kota,30,44,46,21
237,Kota Pagar Alam,Kabupaten/Kota,10,28,23,2
238,Provinsi Lampung,Provinsi,849,199,261,127
239,Kab. Lampung Selatan,Kabupaten/Kota,125,38,20,29
240,Kab. Lampung Tengah,Kabupaten/Kota,74,15,19,10
241,Kab. Lampung Utara,Kabupaten/Kota,66,9,20,12
242,Kab. Lampung Barat,Kabupaten/Kota,26,14,12,0
243,Kab. Tulang Bawang,Kabupaten/Kota,57,25,3,5
244,Kab. Tanggamus,Kabupaten/Kota,62,21,6,14
245,Kab. Lampung Timur,Kabupaten/Kota,80,18,9,11
246,Kab. Way Kanan,Kabupaten/Kota,54,12,110,1
247,Kab. Pesawaran,Kabupaten/Kota,66,4,3,18
248,Kab. Pringsewu,Kabupaten/Kota,31,3,1,2
249,Kab. Mesuji,Kabupaten/Kota,36,6,5,1
250,Kab. Tulang Bawang Barat,Kabupaten/Kota,22,18,2,9
251,Kab. Pesisir Barat,Kabupaten/Kota,43,4,0,0
252,Kota Bandar Lampung,Kabupaten/Kota,100,11,43,5
253,Kota Metro,Kabupaten/Kota,7,1,8,10
254,Provinsi Kalimantan Barat,Provinsi,"1,092",384,167,223
255,Kab. Sambas,Kabupaten/Kota,125,22,17,39
256,Kab. Mempawah,Kabupaten/Kota,41,2,5,2
257,Kab. Sanggau,Kabupaten/Kota,118,79,20,58
258,Kab. Sintang,Kabupaten/Kota,98,19,6,12
259,Kab. Kapuas Hulu,Kabupaten/Kota,42,66,3,6
260,Kab. Ketapang,Kabupaten/Kota,176,70,11,33
261,Kab. Bengkayang,Kabupaten/Kota,43,28,15,8
262,Kab. Landak,Kabupaten/Kota,33,6,19,1
263,Kab. Sekadau,Kabupaten/Kota,29,9,4,10
264,Kab. Melawi,Kabupaten/Kota,81,34,17,9
265,Kab. Kayong Utara,Kabupaten/Kota,43,8,1,1
266,Kab. Kubu Raya,Kabupaten/Kota,152,25,19,42
267,Kota Pontianak,Kabupaten/Kota,65,11,24,2
268,Kota Singkawang,Kabupaten/Kota,46,5,6,0
269,Provinsi Kalimantan Tengah,Provinsi,549,220,104,105
270,Kab. Kapuas,Kabupaten/Kota,118,33,5,26
271,Kab. Barito Selatan,Kabupaten/Kota,16,17,10,1
272,Kab. Barito Utara,Kabupaten/Kota,20,10,5,0
273,Kab. Kotawaringin Timur,Kabupaten/Kota,80,22,16,21
274,Kab. Kotawaringin Barat,Kabupaten/Kota,43,14,9,7
275,Kab. Katingan,Kabupaten/Kota,23,10,16,1
276,Kab. Seruyan,Kabupaten/Kota,58,23,2,1
277,Kab. Sukamara,Kabupaten/Kota,12,2,1,4
278,Kab. Lamandau,Kabupaten/Kota,14,8,3,0
279,Kab. Gunung Mas,Kabupaten/Kota,27,16,4,0
280,Kab. Pulang Pisau,Kabupaten/Kota,20,26,3,3
281,Kab. Murung Raya,Kabupaten/Kota,38,6,17,0
282,Kab. Barito Timur,Kabupaten/Kota,46,18,2,2
283,Kota Palangka Raya,Kabupaten/Kota,34,15,11,39
284,Provinsi Kalimantan Selatan,Provinsi,534,183,62,121
285,Kab. Banjar,Kabupaten/Kota,122,24,6,1
286,Kab. Tanah Laut,Kabupaten/Kota,61,14,4,5
287,Kab. Barito Kuala,Kabupaten/Kota,54,14,3,1
288,Kab. Tapin,Kabupaten/Kota,13,13,3,2
289,Kab. Hulu Sungai Selatan,Kabupaten/Kota,34,7,0,2
290,Kab. Hulu Sungai Tengah,Kabupaten/Kota,30,16,9,1
291,Kab. Hulu Sungai Utara,Kabupaten/Kota,19,8,2,4
292,Kab. Tabalong,Kabupaten/Kota,26,17,3,25
293,Kab. Kotabaru,Kabupaten/Kota,45,19,7,29
294,Kab. Balangan,Kabupaten/Kota,26,7,8,0
295,Kab. Tanah Bumbu,Kabupaten/Kota,29,21,5,23
296,Kota Banjarmasin,Kabupaten/Kota,63,15,10,23
297,Kota Banjarbaru,Kabupaten/Kota,12,8,2,5
298,Provinsi Kalimantan Timur,Provinsi,639,184,75,55
299,Kab. Paser,Kabupaten/Kota,92,29,4,9
300,Kab. Kutai Kartanegara,Kabupaten/Kota,195,32,15,13
301,Kab. Berau,Kabupaten/Kota,75,48,2,3
302,Kab. Kutai Barat,Kabupaten/Kota,21,8,13,3
303,Kab. Kutai Timur,Kabupaten/Kota,108,37,31,9
304,Kab. Penajam Paser Utara,Kabupaten/Kota,23,4,1,0
305,Kab. Mahakam Ulu,Kabupaten/Kota,3,11,3,0
306,Kota Samarinda,Kabupaten/Kota,47,11,4,6
307,Kota Balikpapan,Kabupaten/Kota,59,4,2,7
308,Kota Bontang,Kabupaten/Kota,16,0,0,5
309,Provinsi Sulawesi Utara,Provinsi,469,181,154,158
310,Kab. Bolaang Mongondow,Kabupaten/Kota,37,5,2,35
311,Kab. Minahasa,Kabupaten/Kota,79,22,20,23
312,Kab. Kepulauan Sangihe,Kabupaten/Kota,21,19,0,0
313,Kab. Kepulauan Talaud,Kabupaten/Kota,44,3,6,0
314,Kab. Minahasa Selatan,Kabupaten/Kota,47,17,11,10
315,Kab. Minahasa Utara,Kabupaten/Kota,19,7,22,14
316,Kab. Bolaang Mongondow Utara,Kabupaten/Kota,10,3,6,23
317,Kab. Kepulauan Siau Tagulandang Biaro,Kabupaten/Kota,10,6,17,22
318,Kab. Minahasa Tenggara,Kabupaten/Kota,39,11,6,2
319,Kab. Bolaang Mongondow Timur,Kabupaten/Kota,7,3,0,7
320,Kab. Bolaang Mongondow Selatan,Kabupaten/Kota,37,8,4,4
321,Kota Manado,Kabupaten/Kota,79,70,44,3
